Title;Author;Publisher;ReadSituation;Owner
Uzay Akýmlarý;Isaac Asimov;Ýthaki;To-Read;Ege Balçýk
Toz Gibi Yýldýzlar;Isaac Asimov;Ýthaki;To-Read;Ege Balçýk
Ýkinci Vakýf;Isaac Asimov;Ýthaki;To-Read;Ege Balçýk
Vakýf ve Ýmparatorluk;Isaac Asimov;Ýthaki;To-Read;Ege Balçýk
Vakýf;Isaac Asimov;Ýthaki;To-Read;Ege Balçýk
Bir Kýþ Gecesi Eðer Bir Yolcu;Italo Calvino;YKY;To-Read;Ege Balçýk
Ýlk Aþk;Ý. S. Turgenyev;Ýletiþim;To-Read;Ege Balçýk
Ma Sekerdo Kardaþ?;Ýlhami Algör;Ýletiþim;To-Read;Ege Balçýk
Fakat Müzeyyen Bu Derin Bir Tutku;Ýlhami Algör;Ýletiþim;Read;Ege Balçýk
Mülksüzleþtirme ve Türkleþtirme;Ýlkay Öz;Ýletiþim;Read;Ege Balçýk
Muhibbi;Ýskender Pala;Kapý;Read;Ege Balçýk
Canlandýrýlacak Köy;Ýsmail Hakký Tonguç;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Tosun Bank;Ýsmail Saymaz;Ýletiþim;Read;Ege Balçýk
Çavdar Tarlasýnda Çocuklar;J. D. Salinger;YKY;To-Read;Ege Balçýk
Hayvan Haklarý ve Pornografi;J. Eric Miller;6.45 Yayýnlarý;Read;Ege Balçýk
Paul ile Virginie;J. H. Bernardin de Saint-Pierre;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Toplum Sözleþmesi;J. J. Rousseau;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Harry Potter ve Felsefe Taþý;J. K. Rowling;YKY;Read;Ege Balçýk
Taþrada Bir Ay;J. L. Carr;Jaguar;Read;Ege Balçýk
Carmilla;J. Sheridan Le Fanu;Ýthaki;To-Read;Ege Balçýk
Melek Kavþaðý;Jachym Topol;Dergah;To-Read;Ege Balçýk
Demir Ökçe;Jack London;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Martin Eden;Jack London;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
